sequenceNo,scenario,objectName,objectValue,executedValue,keywordIdentifier,scope,frameLocatorsPriority
0,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",user-name,elementId:user-name~CTD~elementName:user-name~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[1]/input[1]~CTD~css:#user-name,elementId:user-name,69c4c973d7cd7335907a609a,application,
1,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",password,elementId:password~CTD~elementName:password~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[2]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[2]/input[1]~CTD~css:#password,elementId:password,69c4c973d7cd7335907a609b,application,
2,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",login-button,elementId:login-button~CTD~elementName:login-button~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/input[1]~CTD~css:#login-button,elementId:login-button,69c4c973d7cd7335907a609c,application,
3,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",add-to-cart-sauce-labs-backpack,"elementId:add-to-cart-sauce-labs-backpack~CTD~elementName:add-to-cart-sauce-labs-backpack~CTD~xpath:.//div[@id='inventory_container']/div[1]/div[1]/div[2]/div[2]/button[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/button[1]~CTD~dxpath:.//button[contains(text(),'Add to cart')]~CTD~css:#add-to-cart-sauce-labs-backpack",elementId:add-to-cart-sauce-labs-backpack,69c4cc9cd7cd7335907a60bd,application,
4,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",add-to-cart-sauce-labs-bike-light,"elementId:add-to-cart-sauce-labs-bike-light~CTD~elementName:add-to-cart-sauce-labs-bike-light~CTD~xpath:.//div[@id='inventory_container']/div[1]/div[2]/div[2]/div[2]/button[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[2]/div[2]/div[2]/button[1]~CTD~dxpath:.//button[contains(text(),'Add to cart')]~CTD~css:#add-to-cart-sauce-labs-bike-light",elementId:add-to-cart-sauce-labs-bike-light,69c4cc9cd7cd7335907a60be,application,
5,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",2,xpath:.//div[@id='shopping_cart_container']/a[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/a[1]~CTD~css:.shopping_cart_link,xpath:.//div[@id='shopping_cart_container']/a[1],69c4cc9cd7cd7335907a60bf,application,
6,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",checkout,"elementId:checkout~CTD~elementName:checkout~CTD~xpath:.//div[@id='cart_contents_container']/div[1]/div[2]/button[2]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[2]/button[2]~CTD~dxpath:.//button[contains(text(),'Checkout')]~CTD~css:#checkout",elementId:checkout,69c4cdebd7cd7335907a60c5,application,
7,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",first-name,elementId:first-name~CTD~elementName:firstName~CTD~xpath:.//div[@id='checkout_info_container']/div[1]/form[1]/div[1]/div[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/form[1]/div[1]/div[1]/input[1]~CTD~css:#first-name,elementId:first-name,69c4cdebd7cd7335907a60c6,application,
8,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",last-name,elementId:last-name~CTD~elementName:lastName~CTD~xpath:.//div[@id='checkout_info_container']/div[1]/form[1]/div[1]/div[2]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/form[1]/div[1]/div[2]/input[1]~CTD~css:#last-name,,69c4cdebd7cd7335907a60c7,application,
9,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",postal-code,elementId:postal-code~CTD~elementName:postalCode~CTD~xpath:.//div[@id='checkout_info_container']/div[1]/form[1]/div[1]/div[3]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/form[1]/div[1]/div[3]/input[1]~CTD~css:#postal-code,,69c4cdebd7cd7335907a60c8,application,
10,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",continue,elementId:continue~CTD~elementName:continue~CTD~xpath:.//div[@id='checkout_info_container']/div[1]/form[1]/div[2]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/form[1]/div[2]/input[1]~CTD~css:#continue,,69c4cdebd7cd7335907a60c9,application,
11,"Scenario: Checkout with multiple products, valid first name, valid last name, and valid postal code",finish,"elementId:finish~CTD~elementName:finish~CTD~xpath:.//div[@id='checkout_summary_container']/div[1]/div[2]/div[9]/button[2]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[2]/div[9]/button[2]~CTD~dxpath:.//button[contains(text(),'Finish')]~CTD~css:#finish",,69c4cdebd7cd7335907a60ca,application,
