sequenceNo,scenario,objectName,objectValue,executedValue,keywordIdentifier,scope,frameLocatorsPriority
0,Scenario: Login using valid username and valid password,user-name,elementId:user-name~CTD~elementName:user-name~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[1]/input[1]~CTD~css:#user-name,elementId:user-name,69c4c973d7cd7335907a609a,application,
1,Scenario: Login using valid username and valid password,password,elementId:password~CTD~elementName:password~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[2]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[2]/input[1]~CTD~css:#password,elementId:password,69c4c973d7cd7335907a609b,application,
2,Scenario: Login using valid username and valid password,login-button,elementId:login-button~CTD~elementName:login-button~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/input[1]~CTD~css:#login-button,elementId:login-button,69c4c973d7cd7335907a609c,application,
0,Scenario: Login using valid username and empty password,user-name,elementId:user-name~CTD~elementName:user-name~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[1]/input[1]~CTD~css:#user-name,elementId:user-name,69c4c973d7cd7335907a609a,application,
1,Scenario: Login using valid username and empty password,password,elementId:password~CTD~elementName:password~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[2]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[2]/input[1]~CTD~css:#password,elementId:password,69c4c973d7cd7335907a609b,application,
2,Scenario: Login using valid username and empty password,login-button,elementId:login-button~CTD~elementName:login-button~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/input[1]~CTD~css:#login-button,elementId:login-button,69c4c973d7cd7335907a609c,application,
0,Scenario: Login using empty username and valid password,user-name,elementId:user-name~CTD~elementName:user-name~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[1]/input[1]~CTD~css:#user-name,elementId:user-name,69c4c973d7cd7335907a609a,application,
1,Scenario: Login using empty username and valid password,password,elementId:password~CTD~elementName:password~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[2]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[2]/input[1]~CTD~css:#password,elementId:password,69c4c973d7cd7335907a609b,application,
2,Scenario: Login using empty username and valid password,login-button,elementId:login-button~CTD~elementName:login-button~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/input[1]~CTD~css:#login-button,elementId:login-button,69c4c973d7cd7335907a609c,application,
0,Scenario: Login using invalid username and valid password,user-name,elementId:user-name~CTD~elementName:user-name~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[1]/input[1]~CTD~css:#user-name,elementId:user-name,69c4c973d7cd7335907a609a,application,
1,Scenario: Login using invalid username and valid password,password,elementId:password~CTD~elementName:password~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[2]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[2]/input[1]~CTD~css:#password,elementId:password,69c4c973d7cd7335907a609b,application,
2,Scenario: Login using invalid username and valid password,login-button,elementId:login-button~CTD~elementName:login-button~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/input[1]~CTD~css:#login-button,elementId:login-button,69c4c973d7cd7335907a609c,application,
0,Scenario: Login using valid username and invalid password,user-name,elementId:user-name~CTD~elementName:user-name~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[1]/input[1]~CTD~css:#user-name,elementId:user-name,69c4c973d7cd7335907a609a,application,
1,Scenario: Login using valid username and invalid password,password,elementId:password~CTD~elementName:password~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/div[2]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/div[2]/input[1]~CTD~css:#password,elementId:password,69c4c973d7cd7335907a609b,application,
2,Scenario: Login using valid username and invalid password,login-button,elementId:login-button~CTD~elementName:login-button~CTD~xpath:.//div[@id='login_button_container']/div[1]/form[1]/input[1]~CTD~axpath:html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/form[1]/input[1]~CTD~css:#login-button,elementId:login-button,69c4c973d7cd7335907a609c,application,
